tree_id,family,genus,species,isTGDR,title,year,authors,lat,lng,icon_type
TGDR001-10072,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Tsai, Chung-jui,Neale, David Brian,Wegrzyn, Jill L.,Eckert, Andrew J.,Choi, Minyoung,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.",46.267,-123.450,parks
TGDR001-1862,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Wegrzyn, Jill L.,Neale, David Brian,Eckert, Andrew J.,Choi, Minyoung,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui",45.750,-122.833,parks
TGDR001-1863,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Neale, David Brian,Wegrzyn, Jill L.,Eckert, Andrew J.,Choi, Minyoung,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui",45.750,-122.833,parks
TGDR001-1909,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Eckert, Andrew J.,Wegrzyn, Jill L.,Choi, Minyoung,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui,Neale, David Brian",45.583,-122.383,parks
TGDR001-1921,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.",45.583,-122.200,parks
TGDR001-1922,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.,Neale, David Brian,Tsai, Chung-jui",45.583,-122.200,parks
TGDR001-1944,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Wegrzyn, Jill L.,Eckert, Andrew J.,Choi, Minyoung,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui,Neale, David Brian",45.583,-122.000,parks
TGDR001-1950,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.",45.583,-121.917,parks
TGDR001-1983,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Tsai, Chung-jui,Neale, David Brian,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.",46.083,-122.833,parks
TGDR001-1984,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Neale, David Brian,Wegrzyn, Jill L.,Eckert, Andrew J.,Choi, Minyoung,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui",46.083,-122.833,parks
TGDR001-2022,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Choi, Minyoung,Wegrzyn, Jill L.,Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Eckert, Andrew J.",45.750,-122.667,parks
TGDR001-2028,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Wegrzyn, Jill L.,Eckert, Andrew J.,Choi, Minyoung,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui,Neale, David Brian",45.833,-122.833,parks
TGDR001-2037,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Choi, Minyoung,Wegrzyn, Jill L.,Eckert, Andrew J.,Neale, David Brian,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui",45.833,-122.833,parks
TGDR001-2045,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Eckert, Andrew J.,Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Wegrzyn, Jill L.",46.083,-123.917,parks
TGDR001-2048,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.",46.083,-123.917,parks
TGDR001-2063,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Wegrzyn, Jill L.,Eckert, Andrew J.,Choi, Minyoung,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui,Neale, David Brian",46.167,-123.000,parks
TGDR001-2066,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Eckert, Andrew J.,Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Stanton, Brian J,Lee, Jennifer M JM,Choi, Minyoung,Wegrzyn, Jill L.",46.167,-123.000,parks
TGDR001-2076,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Neale, David Brian,Eckert, Andrew J.,Choi, Minyoung,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui,Wegrzyn, Jill L.",46.333,-123.417,parks
TGDR001-2092,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Stanton, Brian J,Neale, David Brian,Tsai, Chung-jui,Davis, Mark F.,Sykes, Robert,Lee, Jennifer M JM,Choi, Minyoung,Eckert, Andrew J.,Wegrzyn, Jill L.",46.167,-123.333,parks
TGDR001-2103,Saliceae,Populus,Populus trichocarpa,true,"Association genetics of traits controlling lignin and cellulose biosynthesis in black cottonwood (Populus trichocarpa, Salicaceae) secondary xylem.",2010,"Eckert, Andrew J.,Choi, Minyoung,Wegrzyn, Jill L.,Lee, Jennifer M JM,Stanton, Brian J,Sykes, Robert,Davis, Mark F.,Tsai, Chung-jui,Neale, David Brian",46.000,-123.000,parks
